study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,heterogeneity_emphasized,overlap_reported,noninterchangeability_emphasized,recommend_careful_measure_selection,recommend_measure_development,ica_methods_problems,matrix_source
Fried2017,TRUE,7,psychological_condition,clinical_psychopathology,mixed,FALSE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,58.4,TRUE,TRUE,multi_coded,TRUE,TRUE,bottom_up,dsm,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,0.36,TRUE,0.26,TRUE,0.61,TRUE,positive_numeric,0.57,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Bernardin2023,TRUE,14,psychological_condition,clinical_psychopathology,mixed,TRUE,mixed,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,symptom_level; category_level,80.4; 98.85,TRUE,TRUE,multi_coded,TRUE,FALSE,top_down,other,TRUE,2,TRUE,FALSE,TRUE,TRUE,python,TRUE,3,FALSE,FALSE,TRUE,TRUE,TRUE,0.194,FALSE,NA,TRUE,0.5,TRUE,positive_numeric,0.597,TRUE,weak_overlap,TRUE,TRUE,FALSE,TRUE,main_text
Koppold2023,TRUE,22,transdiagnostic_feature,developmental,mixed,TRUE,mixed,TRUE,eprovide,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,symptom_level; symptom_level,95.2; 93.33,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,who_definition,TRUE,2,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,TRUE,FALSE,TRUE,TRUE,TRUE,0.29,TRUE,0.14,TRUE,0.58,TRUE,null_text_only,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Wall2022,TRUE,13,psychological_condition,clinical_psychopathology,self_report,FALSE,adults,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,symptom_level,80.83,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Karstoft2023,TRUE,8,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,pubmed; psycinfo,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,63.33,FALSE,TRUE,other,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.41,TRUE,0.19,TRUE,0.59,TRUE,positive_text_only,NA,TRUE,moderate_overlap,FALSE,TRUE,TRUE,FALSE,main_text
Elklit2024,TRUE,6,transdiagnostic_feature,developmental,self_report,FALSE,mixed,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,78.16,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,0.25,TRUE,0.091,TRUE,0.444,FALSE,NA,NA,TRUE,moderate_overlap,FALSE,TRUE,FALSE,FALSE,main_text
Lampe2024,TRUE,11,other,other,self_report,TRUE,indeterminable,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,symptom_level,86.16,TRUE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,TRUE,6,TRUE,FALSE,TRUE,TRUE,TRUE,0.229,TRUE,0.139,TRUE,0.75,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Klooster2024,TRUE,5,medical_condition,health_medicine,self_report,TRUE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,40.909999999999997,TRUE,FALSE,NA,TRUE,FALSE,bottom_up,guideline,TRUE,2,FALSE,TRUE,FALSE,TRUE,r,FALSE,3,FALSE,FALSE,TRUE,TRUE,TRUE,0.11,TRUE,0,TRUE,0.43,FALSE,NA,NA,TRUE,very_weak_overlap,TRUE,TRUE,FALSE,FALSE,main_text
Vial2019,FALSE,7,other,developmental,structured_interview,FALSE,mixed,TRUE,psycinfo; pubmed; sociological_abstracts; web_of_science; sciencedirect; eric; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,symptom_level,74.64,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,TRUE,FALSE,FALSE,FALSE,not_mentioned,TRUE,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,not_specified,FALSE,FALSE,TRUE,FALSE,NA
Deericks2025,FALSE,9,psychological_condition,clinical_psychopathology,mixed,TRUE,children,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,NA,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,icd,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.42,TRUE,0.17,TRUE,0.85,FALSE,NA,NA,FALSE,moderate_overlap,FALSE,FALSE,FALSE,FALSE,not_available
Gauld2024,TRUE,11,medical_condition,health_medicine,self_report,TRUE,adults,TRUE,pubmed,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,symptom_level; category_level,65.28; 95.83,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm; other,TRUE,6,TRUE,FALSE,TRUE,TRUE,python,TRUE,8,FALSE,FALSE,FALSE,TRUE,TRUE,0.237,FALSE,NA,TRUE,0.329,TRUE,null_numeric,0.155,TRUE,weak_overlap,FALSE,TRUE,FALSE,FALSE,main_text
Chrobak2024,TRUE,7,medical_condition,health_medicine,structured_interview,TRUE,adults,TRUE,medline,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,32.090000000000003,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.17,TRUE,0,TRUE,0.64,TRUE,positive_numeric,0.61,TRUE,very_weak_overlap,TRUE,FALSE,TRUE,TRUE,main_text
Leung2025,TRUE,6,other,developmental,parent_report,FALSE,children,TRUE,psycinfo; embase; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,category_level,87.42,TRUE,TRUE,multi_coded,TRUE,TRUE,mixed,none,TRUE,2,FALSE,FALSE,FALSE,TRUE,r,TRUE,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.28,TRUE,0.06,TRUE,0.59,TRUE,positive_numeric,0.73,TRUE,weak_overlap,TRUE,TRUE,TRUE,FALSE,main_text
Lindert2025,FALSE,24,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,pubmed; embase; psycinfo; cinahl; web_of_science; ptsdpubs,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,category_level,90.19,FALSE,FALSE,NA,FALSE,FALSE,top_down,dsm,TRUE,2,FALSE,FALSE,FALSE,FALSE,not_mentioned,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,not_specified,FALSE,FALSE,TRUE,FALSE,NA
Dass2024,TRUE,7,other,developmental,self_report,TRUE,adults,TRUE,psycinfo; eric; web_of_science; scopus,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,category_level,75.83,TRUE,TRUE,multi_coded,TRUE,TRUE,mixed,none,FALSE,NA,FALSE,FALSE,TRUE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,0.09,FALSE,NA,TRUE,0.25,TRUE,other_unclear,NA,TRUE,very_weak_overlap,TRUE,TRUE,FALSE,FALSE,main_text
Newson2020,FALSE,126,psychological_condition,clinical_psychopathology,mixed,TRUE,mixed,TRUE,pubmed; google_scholar,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,category_level,99.58,FALSE,TRUE,multi_coded,FALSE,FALSE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,FALSE,not_mentioned,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,other_unclear,NA,TRUE,weak_overlap,FALSE,FALSE,TRUE,FALSE,NA
Garcia2027,TRUE,12,other,developmental,self_report,TRUE,mixed,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,symptom_level; category_level,32; 90,FALSE,TRUE,mono_coded,TRUE,TRUE,bottom_up,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,0.072,FALSE,NA,TRUE,0.132,FALSE,NA,NA,TRUE,weak_overlap,FALSE,TRUE,FALSE,TRUE,main_text
