study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,IRR_reported_nr,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_notes,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,interpretation,matrix_source,special notes,notes,
Fried2017,TRUE,7,psychological_condition,clinical_psychopathology,mixed,FALSE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,symptom_level,58.4,TRUE,TRUE,multi_coded,TRUE,TRUE,bottom_up,dsm,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,1,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.36,TRUE,0.26,TRUE,0.61,TRUE,"mentioned, correlation of 0.57 for the length of scale and the mean overlap",positive_numeric,0.57,"""These findings imply that the routine practice of using scales as interchangeable measurements of depression severity is problematic and may pose a major threat to the generalizability and replicability of depression research"", ""Since different instruments capture different aspects of the heterogeneous depressive syndrome, there is the risk that the selection of a particular scale for a study may severely bias results""",main_text,,,
Bernardin2023,TRUE,14,psychological_condition,clinical_psychopathology,mixed,TRUE,mixed,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,symptom_level; category_level,80.4; 98.85,TRUE,TRUE,multi_coded,TRUE,FALSE,top_down,other,TRUE,2,TRUE,FALSE,TRUE,TRUE,python,TRUE,3,FALSE,not reported,FALSE,TRUE,TRUE,TRUE,0.194,FALSE ,NA,TRUE,0.5,TRUE,"mentioned, correlation of 0.597 between jaccard index and total number of symptoms",positive_numeric,0.597,"""important finding of our study is that, according to our hypothesis, the overlap between the CHR extracted from the questionnaires was weak, as indicated by a small Jaccard index."", ""This heterogeneity can largely explain the weak overlap and the number of idiosyncratic symptoms. This suggests that CHR screening questionnaires evaluate the same broad CHR construct, but have different scopes within that construct, and may be more or less comprehensive than one another."" ""Caution is warranted in the use of these screening questionnaires interchangeably because they might capture heterogeneous populations in terms of CHR symptom course and presentation. Clinicians and researchers should be mindful of the specific  features of each instrument for optimal CHR screening""",main_text,,,
Koppold2023a+b,TRUE,22,transdiagnostic_feature,developmental,mixed,TRUE,mixed,TRUE,eprovide,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,symptom_level; symptom_level,95.2; 93.33,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,who_definition,TRUE,2,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,TRUE,0.81,FALSE,TRUE,TRUE,TRUE,0.29,TRUE,0.14,TRUE,0.58,TRUE,"mentioned, but they found no significant correlation in their data (no specific number)",null_text_only,,"""This rather weak overlap among questionnaires indicates that different ACE questionnaires should be compared with caution and may not be used interchangeably as  they may not measure the same underlying construct, although this is often done in practice"",""When aiming to compare study results in the literature, studies using the  same questionnaires should be considered - if available (or questionnaires with an overlap >.40  which is considered moderate)"", ""In addition to heterogeneous content covered in the included questionnaires, we also noted  potentially relevant structural differences that may impact on interpretation and results"", """,main_text,"2 approaches (9 + 13), second approach was average of 0.28, min of 0.04 and max 0.67",,
Wall2022,TRUE,13,psychological_condition,clinical_psychopathology,self_report,FALSE,adults,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,symptom_level,80.83,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,2,FALSE,argued that they could not report due to the collaborative nature of the symptom generation,FALSE,FALSE,FALSE,FALSE ,NA,FALSE ,NA,FALSE,NA,FALSE,not mentioned,NA,,"""The mean overlap of the item content among the scales was weak, indicated by the small Jaccard Index. This means that the symptoms captured by the scales were quite heterogenous."" ""However, measures can be highly correlated with one another and still meaningfully differ in the content they assess. The low content overlap of the scales suggests that they may not be tapping into the same construct or may be measuring different facets of a more general construct.""",main_text,,,
Karstoft2023,TRUE,8,psychological_condition,clinical_psychopathology,self_report,TRUE,adults,TRUE,pubmed; psycinfo,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,63.33,FALSE,TRUE,other,TRUE,FALSE,bottom_up,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,FALSE,not reported,FALSE,FALSE,TRUE,TRUE,0.41,TRUE,0.19,TRUE,0.59,TRUE,"mentioned in passing, ""Such low indices are partly due to variation in the number of items"", but no correlation measured.",positive_text_only,,"""These results point to a very heterogeneous assessment of trauma exposure"", ""However, an overall message from this study is that the development of one generic, exhaustive measure of trauma exposure that can be applied across all contexts for all purposes is probably neither feasible nor even desirable. As such, it is important to give careful consideration to the purpose of a study and the exhaustiveness of the chosen trauma exposure measure in the context of the study’s intent. Further, uncritical comparisons of studies that apply different measures of trauma exposure should be avoided.""",main_text,,,
Elklit2024,TRUE,6,transdiagnostic_feature,developmental,self_report,FALSE,mixed,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,78.16,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,2,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.25,TRUE,0.091,TRUE,0.444,FALSE,not mentioned,NA,,"""We then studied the overlap among the measures, which was as modest as 25%."",""measures should be culturally adapted and tested before use to see whether they are fit for a specific population. This is certainly warranted; however, there is strong evidence that this procedure is seldom followed. The heterogeneity in definitions and measures impedes progress in research...It also thwarts studies on the consequences of VAC and studies on intermediate factors, because the starting points and the measures of VAC differ from study to study.""",main_text,,,
Lampe2024,TRUE,11,other,other,self_report,TRUE,indeterminable,TRUE,indeterminable,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,symptom_level,86.16,TRUE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,TRUE,6,TRUE,"89.7% (in their own method, if =< 4/6 authors agreed",FALSE,TRUE,TRUE,TRUE,0.229,TRUE,0.139,TRUE,0.75,FALSE,not mentioned,NA,,"""key finding is the overall lack of content overlap among maladaptive exercise scales given the large number of features assessed across scales."",""Results generally suggest that various maladaptive exercise scales cannot be used interchangeably across research and practice settings, and integration and replicability of studies using the variety of measurements of maladaptive exercise that are available may be difficult, if not impossible.""",main_text,,,
Klooster2024,TRUE,5,medical_condition,health_medicine,self_report,TRUE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,40.91,TRUE,FALSE,NA,TRUE,FALSE,bottom_up,guideline,TRUE,2,FALSE,TRUE,FALSE,TRUE,r,FALSE,3,FALSE,not reported,FALSE,TRUE,TRUE,TRUE,0.11,TRUE,0,TRUE,0.43,FALSE,not mentioned,NA,,"""In conclusion, currently used self-report measures of CS in rheumatology show high heterogeneity and remarkably limited overlap in the symptoms they measure."", ""it is very well possible that the results of these studies are specific to the particular instrument—and thus approach of CS—used. This would limit the generalizability and comparability of study findings in rheumatology"" ",main_text,,,
Vial2019,FALSE,7,other,developmental,structured_interview,FALSE,mixed,TRUE,psycinfo; pubmed; sociological_abstracts; web_of_science; sciencedirect; eric; google_scholar,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,symptom_level,74.64,FALSE,TRUE,multi_coded,TRUE,FALSE,bottom_up,none,TRUE,1,TRUE,FALSE,FALSE,FALSE,not_mentioned,TRUE,4,FALSE,not reported,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,not applicable as they did no overlap comparisons,NA,,"""results revealed that a wide variety of immediate child safety threats are measured in these instruments, as we identified a total of 53 safety threats. Although approximately half of the threats are only assessed in a single instrument"", ""different safety assessment instruments may be presented to participants after which they could be asked to indicate whether each aspect measured in the instrument is relevant""",NA,,,
Deericks2025,FALSE,9,psychological_condition,clinical_psychopathology,mixed,TRUE,children,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,NA,FALSE,FALSE,NA,FALSE,FALSE,bottom_up,icd ,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.42,TRUE,0.17,TRUE,0.85,FALSE,not mentioned,NA,,"only moderate overlap, consistent with other studies, variable diagnostic of current diagnostic criteria",not_available,,,
